dataset	lineage	field	n_cells	n_missing	missing_fraction	field_status
aidav2	pDC	chemistry	3864	0	0.0	observed
aidav2	pDC	ctype_high	3864	0	0.0	observed
aidav2	pDC	ctype_high_conf	3864	0	0.0	observed
aidav2	pDC	ctype_low	3864	0	0.0	observed
aidav2	pDC	ctype_low_conf	3864	0	0.0	observed
aidav2	pDC	dataset	3864	0	0.0	observed
aidav2	pDC	donor_id	3864	0	0.0	observed
aidav2	pDC	lineage	3864	0	0.0	observed
aidav2	pDC	pct_mt	3864	0	0.0	observed
aidav2	pDC	sample_id	3864	0	0.0	observed
aidav2	pDC	sex	3864	0	0.0	observed
immuneindonesia	pDC	age	1708	0	0.0	observed
immuneindonesia	pDC	batch	1708	0	0.0	observed
immuneindonesia	pDC	chemistry	1708	0	0.0	observed
immuneindonesia	pDC	ctype_high	1708	0	0.0	observed
immuneindonesia	pDC	ctype_high_conf	1708	0	0.0	observed
immuneindonesia	pDC	ctype_low	1708	0	0.0	observed
immuneindonesia	pDC	ctype_low_conf	1708	0	0.0	observed
immuneindonesia	pDC	dataset	1708	0	0.0	observed
immuneindonesia	pDC	donor_id	1708	0	0.0	observed
immuneindonesia	pDC	lineage	1708	0	0.0	observed
immuneindonesia	pDC	pct_mt	1708	0	0.0	observed
immuneindonesia	pDC	sample_id	1708	0	0.0	observed
immuneindonesia	pDC	sex	1708	0	0.0	observed
