dataset	lineage	fine_type	n_cells	n_donors	n_samples	confidence_missing	confidence_mean	confidence_lt_0_7	confidence_lt_0_9	confidence_min	confidence_q05	confidence_q25	confidence_median	confidence_q75	confidence_q95	confidence_max
onek1k	DC	Classical monocytes	883	436	75	0	0.702602643191289	346	568	0.04362917696975926	0.1571505948344947	0.4763754155097092	0.797262173959414	0.9447654023218639	0.9939569715673294	0.9998715240638354
onek1k	DC	DC2	3085	814	75	0	0.8084712003763381	753	1486	0.02528274734989335	0.3045903275917495	0.7052358947233526	0.9091407257943908	0.9773600888260269	0.9975269799200418	0.9999249926779352
onek1k	DC	pDC	144	126	59	0	0.8162568888201877	33	65	0.12198574285732959	0.3061016377391121	0.7561307792783585	0.9176715702446568	0.9848908953217742	0.9993741174036566	0.9999946702696827
terekhova	DC	DC2	4204	160	299	0	0.8640400503900154	694	1342	0.002048715460898512	0.3325579323499482	0.8338253603320636	0.9715767903283989	0.9959215969057285	0.9997487947328364	0.9999994619763791
aidav2	Monocytes	Classical monocytes	223979	625	625	0	0.974811289102785	5324	13892	0.001126635207286794	0.866040000837217	0.9935854158021089	0.9992556322645821	0.9999055100765035	0.9999949043324826	0.9999999992649702
aidav2	Monocytes	Non-classical monocytes	49003	612	612	0	0.982637252429907	879	2124	0.01825192830935239	0.9220163211157358	0.9991825903885665	0.9999521963667404	0.9999955335246219	0.9999997991460016	0.9999999998290225
immuneindonesia	Monocytes	Classical monocytes	37992	174	174	0	0.9182480619426232	3668	6973	0.0035989791380740895	0.44860767822383074	0.9537698033896549	0.9961572378936918	0.9996759055127796	0.9999874824930463	0.9999999981023964
immuneindonesia	Monocytes	Non-classical monocytes	11184	174	174	0	0.8904666199870949	1499	2537	0.004163861347632937	0.28575812349476226	0.9238255751418555	0.9941138727586372	0.9994754667825494	0.9999777335684243	0.9999999556362089
immunobiologyaging	Monocytes	Classical monocytes	297429	234	234	0	0.9695919848562065	9181	22347	0.004685892125020799	0.822045813464392	0.9921945317233376	0.9990330292481885	0.9998490946290942	0.9999872400118979	0.9999999999982274
immunobiologyaging	Monocytes	Mast cells	35	29	29	0	0.7595947092146235	11	14	0.04172343358338166	0.11161544836069485	0.6260793344694444	0.9426504659745427	0.9904165004219965	0.9993766026485829	0.9995209545042182
